ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,In stock?,Stock,Backorders allowed?,Sold individually?,Regular price,Categories,Images
17,variable,MH01,Chaz Kangeroo Hoodie,1,0,visible,1,0,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg"
11,variation,MH01-L-Black,Chaz Kangeroo Hoodie-L-Black,1,0,visible,1,100,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg
12,variation,MH01-L-Gray,Chaz Kangeroo Hoodie-L-Gray,1,0,visible,1,100,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg"
13,variation,MH01-L-Orange,Chaz Kangeroo Hoodie-L-Orange,1,0,visible,1,100,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg
8,variation,MH01-M-Black,Chaz Kangeroo Hoodie-M-Black,1,0,visible,1,100,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg
9,variation,MH01-M-Gray,Chaz Kangeroo Hoodie-M-Gray,1,0,visible,1,100,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg"
10,variation,MH01-M-Orange,Chaz Kangeroo Hoodie-M-Orange,1,0,visible,1,100,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg
5,variation,MH01-S-Black,Chaz Kangeroo Hoodie-S-Black,1,0,visible,1,100,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg
6,variation,MH01-S-Gray,Chaz Kangeroo Hoodie-S-Gray,1,0,visible,1,100,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg"
7,variation,MH01-S-Orange,Chaz Kangeroo Hoodie-S-Orange,1,0,visible,1,100,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg
14,variation,MH01-XL-Black,Chaz Kangeroo Hoodie-XL-Black,1,0,visible,1,100,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg
15,variation,MH01-XL-Gray,Chaz Kangeroo Hoodie-XL-Gray,1,0,visible,1,100,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg"
16,variation,MH01-XL-Orange,Chaz Kangeroo Hoodie-XL-Orange,1,0,visible,1,100,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg
2,variation,MH01-XS-Black,Chaz Kangeroo Hoodie-XS-Black,1,0,visible,1,100,0,0,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg
